Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
301,Kings,English brochure outer Sept 2011,,AG,,28/04/2011,JA,,
302,Kings,Art Foundation show invitation,Ideas? To include imagery from theeir work or something uber trendy?? Not too pricey,SB,27/04/2011,18/05/2011,JA/EC,,
303,Kings,Summer camp signage templates,Word templates for brands signs for each Summer camp,NP,28/04/2011,20/05/2011,EC,,
304,Kings,Albania Banner,,NA,,20/05/2011,JA,,
305,Kings,Newspaper Advert,"Black and white, 272x163 newspaper advert for Kings LA",AM,03/05/2011,20/05/2011,EC,,
306,Kings,US pathway program collateral,Banner stands and powerpoint presentation,AH,06/06/2011,20/05/2011,EC,,
307,Kings,US pathway program app form,,AG,06/06/2011,20/05/2011,EC,,
308,Kings,2011 summer branded material requirements,,AG,06/06/2011,20/05/2011,JA,,
309,Kings,Kings Bournemouth cinema promo,Poster promoting MLT review prizes,DF,25/05/2011,31/05/2011,EC,,
310,Kings,My Language Travel advertising,Poster asking students to rate their course,DF,12/05/2011,03/06/2011,JA,,
311,Kings,ProLink agency materials,Web banners and graphics required for Chinese partner website,DF,31/05/2011,14/05/2011,JA,,
312,Kings,Chinese testimonials and uni destinations,Raw materials supplied to China for local design. Gulp.,AH,02/06/2011,06/06/2011,JA,,
313,Kings,Outer for USA Academic brochure 2011 (251),Outer' poster for academic brochure,AG,20/06/2011,20/08/2011,EC,,
314,Kings,English course App form 2012,,AG,,,JA,Prices digital print.,
315,Kings,Summer brochure 2012,Based on last year with 2012 feel.,AG,,,EC,Draft to press. Cover to shoot,
316,Kings,Summer brochure outer Sept 2011,Based on J.313,AG,,,EC,"Content to write, design in good shape",
317,Kings,London Annexe Flyer,Annexe flyer for Nick in London,NA,30/06/2011,01/07/2011,EC,,
318,Kings,LA and St Michaels floorplans,,JA,01/07/2011,31/07/2011,JA,,
319,Kings,STM September,,AG,12/07/2011,15/07/2011,WMS/JA,,
320,Kings,IP Saudi Ad,Magazine ad,AG,13/07/2011,15/07/2011,EC,,
321,Kings,Golden Key t-shirts,T-shirts for China staff,HW,15/07/2011,01/08/2011,JA,,
322,Kings,2012 Russian overview brochure (Intellectual),Adaptation of J.329 (6 pager translated Russian market) Maybe not…,OG,19/07/2011,20/09/2011,JA/EC,,
323,Kings,ISIC card,Artwork for student card,AG,,,JA/AG,,
324,Kings,IELTS test prep flyer,,MG,25/07/2011,25/07/2011,EC,,
325,Kings,Website V4,"Updates to include Boston, revised uni prep pages and social networking",AG,26/06/2011,01/08/2011,JA/EC/AG,,
326,Kings,Chinese IP ads,Chinese text into job 320,AG,08/08/2011,08/08/2011,EC,,
327,Kings,College life videos (brochure tie ins),,AG,,,WMS,,
329,Kings,2012 Japan overview flyer,Adaptation of J.329 (6 pager translated japan market),TY,22/08/2011,20/09/2011,JA/AC,,
331,Kings,Kings in one minute,,AG,24/08/2011,02/08/2011,JA,,
332,Kings,Mexico promotion,For Jose Corrie,JC,25/08/2011,26/08/2011,JA,,
333,Kings,IAE web banners,"6 x banners (3 x 2 sizes): Kings general, UK Colleges, US pathways",KH,12/08/2011,26/08/2011,JA,,
334,Kings,IP web banner,update existing banner to include US pathways (J.220),JC,26/08/2011,05/09/2011,JA,,
335,Kings,American Ad for Nick,Rework of J.320,NA,29/08/2011,01/09/2011,EC,,
336,Kings,US Pathways app form,,JF,31/08/2011,09/09/2011,EC,,
337,Kings,BEB Brochure ad and web banner,,JC,02/09/2011,05/09/2011,EC,,
338,Kings,Banners 2012,"New English, US Academic and general banners",AH,05/09/2011,19/09/2011,JA,"Awaiting final decision on material before full print.
US printer needs contacting",
388,Kings,USA document folder,US version of the polyprop folder produced here.,HmC,16/12/2011,13/01/2012,JA/EC,"Done, awaiting delivery",
339,Kings,STM November 2011,US Pathway themed,AG,05/09/2011,09/09/2011,All,,
340,Kings,Powerpoint Presentations 2012,New PP,AG,05/09/2011,13/09/2011,AG/WMS,,
